review,rating,date,bank,source,sentiment_label,sentiment_score,nouns,identified_theme,noun_text
CBE ይለያል።,5,2025-11-29,CBE,Google Play,NEUTRAL,0.0,"['cbe', 'ይለያል።']",Other,cbe ይለያል።
it's special for me,5,2025-11-29,CBE,Google Play,POSITIVE,0.35714285714285715,[],Other,
Make it user friendly.,2,2025-11-28,CBE,Google Play,POSITIVE,0.375,[],Other,
maaliif daddafee install gaafata,3,2025-11-28,CBE,Google Play,NEUTRAL,0.0,"['maaliif', 'daddafee', 'install', 'gaafata']",Other,maaliif daddafee install gaafata
good app,5,2025-11-28,CBE,Google Play,POSITIVE,0.7,['app'],User Interface & Experience,app
This application is very important and advantage for transfer of money and finance in the coutry and foriegn country.,5,2025-11-27,CBE,Google Play,POSITIVE,0.52,"['application', 'transfer', 'money', 'finance', 'coutry', 'foriegn', 'country']",User Interface & Experience,application transfer money finance coutry foriegn country
why didn't work this app?,1,2025-11-27,CBE,Google Play,NEUTRAL,0.0,['app'],User Interface & Experience,app
The app makes our life easier. Thank you CBE!,5,2025-11-27,CBE,Google Play,NEUTRAL,0.0,"['app', 'life', 'cbe']",User Interface & Experience,app life cbe
this app very bad 👎,1,2025-11-27,CBE,Google Play,NEGATIVE,-0.9099999999999998,"['app', '👎']",User Interface & Experience,app 👎
the most advanced app. but how to stay safe?,5,2025-11-27,CBE,Google Play,POSITIVE,0.4666666666666666,['app'],User Interface & Experience,app
Good application,4,2025-11-26,CBE,Google Play,POSITIVE,0.7,['application'],User Interface & Experience,application
It is nice app,5,2025-11-26,CBE,Google Play,POSITIVE,0.6,['app'],User Interface & Experience,app
best,5,2025-11-25,CBE,Google Play,POSITIVE,1.0,[],Other,
"it suddenly asked me to enter the verification key I received. and it (*get your verification key from the nearest CBE Branch*) Now I'm in Australia, what do you expect me to do???! There is no nearest or furthermost cbe Branch!! SO FRUSTRATING! How can I manage my bank account now????",1,2025-11-25,CBE,Google Play,NEUTRAL,-0.00234375,"['verification', 'key', 'verification', 'key', 'cbe', 'branch', 'australia', 'furthermost', 'cbe', 'branch', 'frustrating', 'bank', 'account']",Account & Transactions,verification key verification key cbe branch australia furthermost cbe branch frustrating bank account
nice app...,5,2025-11-25,CBE,Google Play,POSITIVE,0.6,"['nice', 'app']",User Interface & Experience,nice app
very good banking service and fast service,5,2025-11-24,CBE,Google Play,POSITIVE,0.5549999999999999,"['banking', 'service', 'service']",Customer Support,banking service service
thanks blc this app help me to use all time,5,2025-11-24,CBE,Google Play,POSITIVE,0.2,"['thank', 'app', 'time']",User Interface & Experience,thank app time
good,5,2025-11-24,CBE,Google Play,POSITIVE,0.7,[],Other,
why we can't send money to other people telebirr wallets??,1,2025-11-23,CBE,Google Play,NEGATIVE,-0.125,"['money', 'people', 'telebirr', 'wallet']",Account & Transactions,money people telebirr wallet
አታፍሩም ግን ለ15 birr 11.50 ብር ስትቆርጡ ይስተካከልልን,1,2025-11-23,CBE,Google Play,NEUTRAL,0.0,"['ግን', 'birr', 'ብር', 'ስትቆርጡ', 'ይስተካከልልን']",Other,ግን birr ብር ስትቆርጡ ይስተካከልልን
በጣም ቀላልና ምቹ ነው።,5,2025-11-23,CBE,Google Play,NEUTRAL,0.0,"['በጣም', 'ቀላልና', 'ምቹ', 'ነው።']",Other,በጣም ቀላልና ምቹ ነው።
wow,5,2025-11-23,CBE,Google Play,POSITIVE,0.1,[],Other,
nice,5,2025-11-22,CBE,Google Play,POSITIVE,0.6,[],Other,
